employee_name,employee_id,yrs_of_experience,yrs_at_company,compensation,career_track
Emma,1,2,2,58791,technical
Olivia,2,20,10,223576,non-technical
Ava,3,7,9,73680,executive
Isabella,4,9,10,68941,technical
Sophia,5,31,5,178790,non-technical
Amelia,6,4,6,52628,executive
Mia,7,16,6,101925,technical
Charlotte,8,24,4,199579,non-technical
Harper,9,26,10,102814,executive
Mila,10,30,5,232236,technical
Aria,11,13,9,90005,non-technical
Ella,12,19,8,118525,executive
Evelyn,13,3,4,55750,technical
Avery,14,29,10,149506,technical
Luna,15,3,5,51447,non-technical
Abigail,16,27,5,156375,executive
Emily,17,18,5,120193,technical
Scarlett,18,15,4,101007,non-technical
Riley,19,15,6,111306,executive
Layla,20,17,4,95286,technical
Sofia,21,20,7,156503,non-technical
Chloe,22,6,3,88277,executive
Lily,23,20,5,122439,technical
Ellie,24,9,10,56009,non-technical
Madison,25,6,2,89422,executive
Liam,26,3,7,55065,technical
Noah,27,16,10,111315,technical
Oliver,28,19,10,122926,non-technical
Mason,29,34,8,131167,executive
Lucas,30,3,7,53835,technical
Logan,31,12,8,107996,non-technical
Elijah,32,20,6,131792,executive
Ethan,33,11,8,76793,technical
James,34,24,4,216746,non-technical
Aiden,35,35,10,194858,executive
Carter,36,24,5,172509,technical
Jackson,37,29,7,186036,non-technical
Sebastian,38,33,7,152673,executive
Alexander,39,19,7,110767,technical
Benjamin,40,24,6,217827,technical
Michael,41,33,8,139953,non-technical
Jacob,42,24,2,163730,executive
William,43,33,5,221918,technical
Grayson,44,17,6,75114,non-technical
Jack,45,16,7,102416,executive
Daniel,46,18,4,105488,technical
Henry,47,7,6,83736,non-technical
Luke,48,29,9,247114,executive
Leo,49,21,9,100199,technical
Owen,50,0,10,55561,non-technical
Zoey,51,18,6,86565,technical
Elizabeth,52,16,5,86907,non-technical
Victoria,53,34,5,216937,executive
Penelope,54,5,10,52866,technical
Grace,55,7,9,69142,non-technical
Camila,56,33,6,221554,executive
Nora,57,15,5,77661,technical
Aubrey,58,31,9,106150,non-technical
Bella,59,29,6,196027,executive
Hannah,60,15,9,96668,technical
Aurora,61,1,7,49258,non-technical
Addison,62,14,3,110716,executive
Stella,63,23,5,162125,technical
Skylar,64,27,3,101089,technical
Savannah,65,12,6,81185,non-technical
Maya,66,30,2,170694,executive
Paisley,67,7,2,61772,technical
Natalie,68,28,2,121865,non-technical
Emilia,69,10,2,112136,executive
Hazel,70,0,9,56370,technical
Elena,71,12,10,115647,non-technical
Nova,72,8,9,72398,executive
Violet,73,18,8,115245,technical
Niamey,74,7,6,73168,non-technical
Lucy,75,17,9,91154,executive
Brooklyn,76,19,9,78253,technical
Eva,77,6,4,89316,technical
Audrey,78,29,10,146792,non-technical
Zoe,79,18,8,76848,executive
